,Material,Density  - 老 -  (103 kg/m3),Tensile Modulus  - E -  (GPa),Tensile Strength  - 考 - (MPa),Specific Modulus  - E / 老 -,Specific Strength  - 考 / 老 -,Maximum Service Temperature  (oC)
0,Short-fiber,Short-fiber,Short-fiber,Short-fiber,Short-fiber,Short-fiber,Short-fiber
1,Glass-filled epoxy (35%),1.9,25,300,13.2,0.16,80 - 200
2,Glass-filled polyester (35%),2.0,15.7,130,7.85,0.065,80 - 125
3,Glass-filled nylon (35%),1.6,14.5,200,8.95,0.12,75 - 110
4,Unidirectional,Unidirectional,Unidirectional,Unidirectional,Unidirectional,Unidirectional,Unidirectional
5,S-glass epoxy (45%),1.8,39.5,870,21.8,0.48,80 - 215
6,Carbon epoxy (61%),1.6,142,1730,89.3,1.08,80 - 215
7,Kevlar epoxy (53%),1.35,63.6,1100,47.1,0.81,80 - 215

,Material,Density  - 老 -  (103 kg/m3),Tensile Modulus  - E -  (GPa),Tensile Strength  - 考 - (MPa),Specific Modulus  - E / 老 -,Specific Strength  - 考 / 老 -,Maximum Service Temperature  (oC)
0,"Cast Iron, grade 20",7.15,100,140,14.3,0.02,230 - 300
1,"Steel, AISI 1045",7.7 - 8.03,205,585,26.3,0.073,500 - 650
2,Aluminum 2045-T4,2.7,73,450,27.0,0.17,150 - 250
3,Aluminum 6061-T6,2.7,69,270,25.5,0.1,150 - 250

,Material,Density  - 老 -  (103 kg/m3),Tensile Modulus  - E -  (GPa),Tensile Strength  - 考 - (MPa),Specific Modulus  - E / 老 -,Specific Strength  - 考 / 老 -,Maximum Service Temperature  (oC)
0,Alumina,3.8,350,170,92.1,0.045,1425 - 1540
1,MgO,3.6,205,60,56.9,0.017,900 - 1000

,Material,Density  - 老 -  (103 kg/m3),Tensile Modulus  - E -  (GPa),Tensile Strength  - 考 - (MPa),Specific Modulus  - E / 老 -,Specific Strength  - 考 / 老 -,Maximum Service Temperature  (oC)
0,Nylon 6/6,1.15,2 - 3.6,82,2.52,0.071,75 - 100
1,Polyethylene (HDPE),0.9 - 1.4,0.18 - 1.6,15,,,
2,Polypropylene,0.9 - 1.24,1.4,33,1.55,0.037,50 - 80
3,Epoxy,1.25,3.5,69,2.8,0.055,80 - 215
4,Phenolic,1.35,3.0,6,2.22,0.004,70 - 120

